Altium Designer Pick and Place Locations
C:\applications\hardware\pca10156\trunk\production_files\400708_pick_and_place.csv

========================================================================================================================
File Design Information:

Date:       25.03.25
Time:       12:01
Revision:   37042
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R37","10k","TopLayer","RESC0603X03L_C","24.1418","54.9600","270","Resistor, ±1%, 0.05W"
"R9","0R","TopLayer","RESC0603X03L_C","23.3168","54.6743","0","Resistor, ±5%, 0.05W"
"S1","Giteki Symbol","BottomLayer","Giteki","-148.0883","-174.6130","0","Giteki symbol"
"LOGO4","CE Logo","BottomLayer","CE_logo","-148.0883","-174.6130","0","CE (Conformité_Européenne) logo"
"SW4","Switch","TopLayer","JS102011JAQN","4.5212","57.9882","270","SMD slide Switch (ON-ON)"
"R17","100k","TopLayer","RESC0603X03L_C","46.9389","13.3250","180","Resistor, ±1%, 0.05W"
"C79","100nF","TopLayer","CAPC0603X03L_C","48.3947","11.6795","0","Capacitor, X5R, ±10%"
"C78","100nF","TopLayer","CAPC0603X03L_C","46.9389","11.6795","180","Capacitor, X5R, ±10%"
"C77","100nF","TopLayer","CAPC0603X03L_C","33.2330","14.0940","0","Capacitor, X5R, ±10%"
"C76","100nF","TopLayer","CAPC0603X03L_C","31.7659","14.1039","180","Capacitor, X5R, ±10%"
"C75","100nF","TopLayer","CAPC0603X03L_C","33.2330","18.3539","0","Capacitor, X5R, ±10%"
"C74","100nF","TopLayer","CAPC0603X03L_C","31.7659","18.3539","180","Capacitor, X5R, ±10%"
"U15","TLV271","TopLayer","SOT95P280X145-5N","20.4000","54.6750","90","Dual rail to rail CMOS Amplifier"
"U14","TXB0104","TopLayer","QFN12P40_170X200X55L50X20","47.6750","10.2250","0","4-Bit Bidirectional Level-Shifter/Voltage Translator with Automatic Direction Sensing"
"U13","TXB0104","TopLayer","QFN12P40_170X200X55L50X20","32.5000","12.6500","0","4-Bit Bidirectional Level-Shifter/Voltage Translator with Automatic Direction Sensing"
"U12","TXB0104","TopLayer","QFN12P40_170X200X55L50X20","32.5000","16.9000","0","4-Bit Bidirectional Level-Shifter/Voltage Translator with Automatic Direction Sensing"
"TP25","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","96.7500","30.2500","90","0.7mm circular SMD testpad"
"TP24","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","95.3913","30.2500","90","0.7mm circular SMD testpad"
"TP23","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","94.0163","30.2654","90","0.7mm circular SMD testpad"
"TP21","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","86.9000","30.2750","90","0.7mm circular SMD testpad"
"TP20","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","85.6281","30.2654","90","0.7mm circular SMD testpad"
"TP19","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","84.2531","30.2654","90","0.7mm circular SMD testpad"
"TP11","Ø1.5mm,SMD","BottomLayer","TP_SMD_D1.5mm","18.6220","57.5820","90","1.5mm circular SMD testpad"
"R43","33k","TopLayer","RESC0603X03L_C","22.6348","53.0250","180","Resistor, ±1%, 0.05W"
"R42","10k","TopLayer","RESC0603X03L_C","15.6000","16.0987","270","Resistor, ±1%, 0.05W"
"R41","10k","TopLayer","RESC0603X03L_C","15.0526","16.0987","90","Resistor, ±1%, 0.05W"
"R40","2R2","TopLayer","RESC0603X03L_C","16.3943","21.4690","90","Resistor, ±1%, 0.05W"
"Q4","PBSS4330PA","TopLayer","DFN105P200X65-3N_v2","17.6250","54.6750","180","30V, 3A, 2.1W, G=270, NPN Transistor"
"P5","Pin List 1x3","TopLayer","LIST_1x3_SMD","35.9600","4.5000","180","Pin List 1x3, 2.54mm (100mil), SMD"
"C73","100nF","TopLayer","CAPC0603X03L_C","11.6793","4.5310","270","Capacitor, X5R, ±10%"
"C72","100nF","TopLayer","CAPC0603X03L_C","22.6348","53.5750","0","Capacitor, X5R, ±10%"
"C70","100nF","TopLayer","CAPC0603X03L_C","14.9000","47.4250","0","Capacitor, X5R, ±10%"
"C69","100nF","TopLayer","CAPC0603X03L_C","19.7350","57.0000","0","Capacitor, X5R, ±10%"
"C68","1.0µF","TopLayer","CAPC1005X04L","15.1840","42.2750","0","Capacitor, X5R, ±10%, 6.3V"
"C67","10nF","TopLayer","CAPC0603X03L_C","16.1447","16.1000","90","Capacitor, X7R, ±10%"
"C40","2.2µF","TopLayer","CAPC1608X06L","15.8250","17.9000","90","Capacitor, X7R, ±10%, 6.3V"
"TP7","Ø0.7mm,SMD","TopLayer","TP_SMD_D0.7mm","33.2500","23.7832","0","0.7mm circular SMD testpad"
"R39","100k","TopLayer","RESC0603X03L_C","91.8220","23.8346","180","Resistor, ±1%, 0.05W"
"U8","TMUX1574","TopLayer","XQFN40P180X260X50-16N","94.8750","26.1000","180","Low-Capacitance, 2:1 (SPDT) 4-Channel, analog switch"
"U3","TMUX1574","TopLayer","XQFN40P180X260X50-16N","84.6750","27.5000","180","Low-Capacitance, 2:1 (SPDT) 4-Channel, analog switch"
"R35","100k","TopLayer","RESC0603X03L_C","32.3250","22.8641","180","Resistor, ±1%, 0.05W"
"C66","100nF","TopLayer","CAPC0603X03L_C","94.3846","23.9706","180","Capacitor, X5R, ±10%"
"C65","100nF","TopLayer","CAPC0603X03L_C","84.1931","25.3652","180","Capacitor, X5R, ±10%"
"C64","100nF","TopLayer","CAPC0603X03L_C","101.0393","60.1850","270","Capacitor, X5R, ±10%"
"P4","Pin List 1x3","TopLayer","LIST_1x3","95.7850","46.6250","0","Pin List 1x3, 2.54mm (100mil)"
"P3","Pin List 1x2","TopLayer","LIST_1x2","105.8451","22.7126","270","Pin List 1x2, 2.54mm (100mil)"
"C15","100nF","TopLayer","CAPC0603X03L_C","47.4334","33.9026","0","Capacitor, X5R, ±10%"
"C63","100nF","TopLayer","CAPC0603X03L_C","54.0000","1.8250","270","Capacitor, X5R, ±10%"
"R8","100k","TopLayer","RESC0603X03L_C","25.7600","25.7400","90","Resistor, ±1%, 0.05W"
"C62","100nF","TopLayer","CAPC0603X03L_C","40.9500","47.2750","270","Capacitor, X5R, ±10%"
"C55","100nF","TopLayer","CAPC0603X03L_C","40.9500","34.5750","270","Capacitor, X5R, ±10%"
"C10","100nF","TopLayer","CAPC0603X03L_C","47.4666","46.6066","0","Capacitor, X5R, ±10%"
"R32","100k","TopLayer","RESC0603X03L_C","30.7000","16.1000","180","Resistor, ±1%, 0.05W"
"C28","1.0µF","TopLayer","CAPC1005X04L","76.2750","53.9500","270","Capacitor, X5R, ±10%, 6.3V"
"C16","1.0µF","TopLayer","CAPC1005X04L","76.2750","41.2750","270","Capacitor, X5R, ±10%, 6.3V"
"C50","1.0µF","TopLayer","CAPC1005X04L","47.1500","48.2689","90","Capacitor, X5R, ±10%, 6.3V"
"C49","100nF","TopLayer","CAPC0603X03L_C","50.5400","12.3694","180","Capacitor, X5R, ±10%"
"C25","100nF","TopLayer","CAPC0603X03L_C","29.3046","48.3210","180","Capacitor, X5R, ±10%"
"C21","100nF","TopLayer","CAPC0603X03L_C","87.7074","23.8422","0","Capacitor, X5R, ±10%"
"SB10","Solderbridge","TopLayer","Solderbridge","86.3470","23.4922","90","Solderbridge"
"U9","MX25R6435F","TopLayer","SON127P600X80_HS-9N","89.7750","27.0000","180","Ultra low power, 64M-bit, serial multi I/O flash memory"
"U6","TMUX1511","TopLayer","XQFN40P180X260X50-16N","51.4250","10.2250","0","Low-Capacitance, 1:1 (SPST) 4-Channel, analog switch"
"SB1","Solderbridge","TopLayer","Solderbridge","53.9250","9.2750","270","Solderbridge"
"R31","100k","TopLayer","RESC0603X03L_C","48.3946","13.3250","0","Resistor, ±1%, 0.05W"
"R30","0R","TopLayer","RESC1005X04L","36.0250","59.8297","0","Resistor, ±5%, 0.063W"
"R29","0R","TopLayer","RESC1005X04L","36.0250","60.8500","0","Resistor, ±5%, 0.063W"
"R28","0R","TopLayer","RESC1005X04L","38.0193","59.8297","0","Resistor, ±5%, 0.063W"
"R25","0R","TopLayer","RESC1005X04L","38.0248","60.8500","0","Resistor, ±5%, 0.063W"
"Q2","NX138AKS","TopLayer","TSSOP6","79.0001","24.5001","90","MOSFET 2N-CH 60V 0.17A TSSOP6 (SOT363)"
"L8","2.2µH","TopLayer","INDC2016X10N","26.7491","43.3363","90","Inductor, Irms=2.5A, Isat=2.9A, ±20%, DCR=73mO"
"C27","10µF","TopLayer","CAPC1608X06L","24.2491","42.1863","0","Capacitor, X7T, ±20%, 10V"
"C24","10µF","TopLayer","CAPC1608X06L","24.8673","44.2960","90","Capacitor, X7T, ±20%, 10V"
"L4","3.5nH","TopLayer","INDC0603X03L_C","105.4057","35.7303","0","Inductor, 500mA, ±0.1nH, 170mOhm"
"C61","0.3pF","TopLayer","CAPC0603X03L_C","106.2000","36.0153","270","Capacitor, C0G, ±0.1pF, 50V"
"R3","0R","TopLayer","RESC0603X03L_C","103.1500","34.5750","0","Resistor, ±5%, 0.05W"
"C60","3.9pF","TopLayer","CAPC0603X03L_C","102.7733","35.1486","0","Capacitor, NP0, ±0.05pF, 25V"
